Branch,Month,Total_Sales,Discount_Amount,Net_Sales,Orders
RABEGH Fran,2025-07-01,112445.0898,5352.7384,93198.91761,7700
RABEGH Fran,2025-08-01,107923.1613,5272.26015,89316.95998,7191
SHARORA Fran,2024-12-01,4575.15481,105.63477,3886.53899,261
SHARORA Fran,2025-01-01,89873.10836,3332.60865,75252.60509,5132
SHARORA Fran,2025-02-01,94458.50015,3589.99988,79016.08452,5675
SHARORA Fran,2025-03-01,73950.17265,2292.17384,62311.29894,3996
SHARORA Fran,2025-04-01,102327.4326,3070.43455,86310.42736,5944
SHARORA Fran,2025-05-01,103932.0634,3139.56498,87645.64476,6187
SHARORA Fran,2025-06-01,96974.3708,3297.52154,81458.12461,5506
SHARORA Fran,2025-07-01,89098.39448,2430.69543,75373.64789,4988
SHARORA Fran,2025-08-01,90179.53402,2776.43448,76015.7357,5239
Turbaa Fran,2025-01-01,64911.36805,4930.8696,52156.94942,2859
Turbaa Fran,2025-02-01,48803.58586,2296.08682,40441.29892,2281
Turbaa Fran,2025-03-01,49065.12931,359.13039,42353.03805,2635
Turbaa Fran,2025-04-01,44984.73803,841.73914,38385.21262,2323
Turbaa Fran,2025-05-01,38918.80366,881.30428,33076.08318,2079
Turbaa Fran,2025-06-01,38375.17345,412.1739,33011.3009,2110
Turbaa Fran,2025-07-01,36057.39115,357.3913,31066.43342,1931
Turbaa Fran,2025-08-01,32892.54327,243.04343,28409.12962,1701
HAFERAL-BATEN Fran,2024-12-01,806.0,0.0,700.86947,48
HAFERAL-BATEN Fran,2025-01-01,14456.46531,410.50436,12213.87976,1185
HAFERAL-BATEN Fran,2025-02-01,25920.14999,3836.26937,19209.24424,1608
HAFERAL-BATEN Fran,2025-03-01,14397.43476,370.43474,12197.39068,866
HAFERAL-BATEN Fran,2025-04-01,14317.26061,318.26084,12173.04282,960
HAFERAL-BATEN Fran,2025-05-01,13205.86911,240.86952,11297.39057,850
HAFERAL-BATEN Fran,2025-06-01,13423.81942,167.86958,11532.78215,960
HAFERAL-BATEN Fran,2025-07-01,12527.43466,250.43477,10675.65191,877
HAFERAL-BATEN Fran,2025-08-01,14246.48912,316.73912,12115.43457,909
Arrisa -Fran,2024-12-01,3675.08606,159.42607,3057.09553,256
Arrisa -Fran,2025-01-01,80979.86956,2720.86966,68051.30163,5411
Arrisa -Fran,2025-02-01,92126.15262,3565.65209,77009.12826,6118
Arrisa -Fran,2025-03-01,82028.08673,2146.08692,69462.60616,5029
Arrisa -Fran,2025-04-01,112353.8252,3227.82575,94892.16937,7457
Arrisa -Fran,2025-05-01,122029.8239,4147.8257,102506.0781,8330
Arrisa -Fran,2025-06-01,120378.5578,4496.26062,100767.2071,8004
Arrisa -Fran,2025-07-01,132540.6068,3722.60826,112054.7766,8820
Arrisa -Fran,2025-08-01,151340.4874,4296.73852,127905.8646,9409
kamisMshit Fran,2024-12-01,1770.29132,11.3913,1529.4782,132
kamisMshit Fran,2025-01-01,31227.6303,609.13047,26624.78139,2297
kamisMshit Fran,2025-02-01,32354.39108,497.3913,27701.73733,2346
kamisMshit Fran,2025-03-01,22285.60871,302.60869,19115.65122,1430
kamisMshit Fran,2025-04-01,34677.95621,446.95646,29766.08498,2456
kamisMshit Fran,2025-05-01,39256.32593,537.82603,33668.25864,2650
kamisMshit Fran,2025-06-01,47530.24511,771.69564,40659.60524,2950
kamisMshit Fran,2025-07-01,85322.34757,824.34772,73481.73729,4688
kamisMshit Fran,2025-08-01,94189.70637,961.95645,81104.12992,4871
Makkah-ZAIDI Fran,2024-12-01,1816.99998,0.0,1580.0,115
Makkah-ZAIDI Fran,2025-01-01,36866.58246,602.78267,31533.73847,2499
Makkah-ZAIDI Fran,2025-02-01,32735.86499,947.5652,27641.99958,2244
Makkah-ZAIDI Fran,2025-03-01,28678.21741,325.21738,24654.78211,1807
Makkah-ZAIDI Fran,2025-04-01,31594.8038,621.30432,26933.47712,2072
Makkah-ZAIDI Fran,2025-05-01,36588.56894,502.86953,31378.86767,2428
Makkah-ZAIDI Fran,2025-06-01,33861.48212,576.78258,28943.21578,2251
Makkah-ZAIDI Fran,2025-07-01,32269.82592,387.82609,27745.39064,2106
Makkah-ZAIDI Fran,2025-08-01,36772.74557,701.69562,31382.82612,2303
Khobash Fran,2024-12-01,2362.04344,73.04346,1990.43462,115
Khobash Fran,2025-01-01,50345.56462,349.56532,43474.77889,2660
Khobash Fran,2025-02-01,45702.04313,393.04353,39399.12778,2480
Khobash Fran,2025-03-01,43440.43416,270.43484,37539.12793,2321
Khobash Fran,2025-04-01,61576.43384,430.43479,53170.42951,3244
Khobash Fran,2025-05-01,66128.15142,465.65216,57097.81982,3506
Khobash Fran,2025-06-01,63763.68166,728.78257,54812.95077,3226
Khobash Fran,2025-07-01,69640.9338,580.43475,60055.21279,3488
Khobash Fran,2025-08-01,83074.83629,621.08687,71704.12529,4092
Tbouk-alBowady Fran,2024-12-01,5302.56523,109.56521,4515.65183,303
Tbouk-alBowady Fran,2025-01-01,90240.02131,1626.52198,77055.21073,5439
Tbouk-alBowady Fran,2025-02-01,85608.37375,2424.1739,72339.95092,5318
Tbouk-alBowady Fran,2025-03-01,81982.04162,833.04342,70564.3401,4806
Tbouk-alBowady Fran,2025-04-01,92566.47684,1003.47816,79619.99048,5967
Tbouk-alBowady Fran,2025-05-01,105049.1707,1952.17367,89649.55288,6463
Tbouk-alBowady Fran,2025-06-01,98282.21501,1605.21714,84066.94483,6129
Tbouk-alBowady Fran,2025-07-01,91483.48537,1130.08678,78629.7312,5878
Tbouk-alBowady Fran,2025-08-01,94568.58341,1529.43451,80976.64485,5791
Tabouk-Sultana Fran,2024-12-01,2134.12954,132.46954,1740.57379,114
Tabouk-Sultana Fran,2025-01-01,74482.3267,1877.82674,63134.34294,4289
Tabouk-Sultana Fran,2025-02-01,68913.03468,3406.43475,56973.99646,3997
Tabouk-Sultana Fran,2025-03-01,60212.5604,1036.26089,51457.6472,3156
Tabouk-Sultana Fran,2025-04-01,73588.17368,1012.1738,63109.55885,4610
Tabouk-Sultana Fran,2025-05-01,83220.32526,2757.82582,69979.12144,5124
Tabouk-Sultana Fran,2025-06-01,73219.56031,1736.26088,62176.99173,4415
Tabouk-Sultana Fran,2025-07-01,72161.86693,1474.21739,61486.82028,4497
Tabouk-Sultana Fran,2025-08-01,75807.84007,1921.06506,64262.40847,4689
Yadma Fran,2025-03-01,1010.00001,0.0,878.26086,60
Yadma Fran,2025-04-01,116331.4747,1183.47813,100128.6849,4960
Yadma Fran,2025-05-01,109249.2136,2465.21717,92855.64073,4811
Yadma Fran,2025-06-01,97087.56147,2369.56503,82363.46842,3950
Yadma Fran,2025-07-01,90711.11246,1552.56503,77529.16782,3470
Yadma Fran,2025-08-01,91870.78475,1408.08674,78671.03757,3772
Rejla fran,2025-05-01,57584.69467,1308.69555,48935.64862,3159
Rejla fran,2025-06-01,131453.8435,3467.6954,111292.2978,6640
Rejla fran,2025-07-01,149525.1358,2195.08678,128146.9971,7049
Rejla fran,2025-08-01,166071.61,3109.26045,141742.91,7103
kamis aldiafa fran,2025-05-01,4676.56509,749.56507,3414.7823,251
kamis aldiafa fran,2025-06-01,53918.87073,3147.52128,44148.995,3131
kamis aldiafa fran,2025-07-01,82364.96242,2518.91263,69433.95548,4207
kamis aldiafa fran,2025-08-01,69942.49644,2330.0173,58796.06822,3567
Taslal,2025-08-01,15.0,0.0,13.04348,1
magara,2024-01-01,101060.8512,1974.30418,86162.20992,4352
magara,2024-02-01,111158.9272,2558.47808,94435.17124,4789
magara,2024-03-01,91237.60563,3915.95621,75931.86623,4221
magara,2024-04-01,152172.3018,4731.30381,128248.6871,6313
magara,2024-05-01,165875.6494,5135.65148,139846.294,7119
magara,2024-06-01,202506.9537,3966.95611,172654.8137,8346
magara,2024-07-01,276937.9901,10194.999,231960.1965,10144
magara,2024-08-01,309619.3784,5437.39062,264506.0598,11237
magara,2024-09-01,189426.1168,5636.69527,159815.29,7974
magara,2024-10-01,186251.0637,6272.86792,156502.7709,7821
magara,2024-11-01,174364.4984,4863.30357,147392.3352,7088
magara,2024-12-01,166585.2185,6598.52101,139118.8594,6955
magara,2025-01-01,181493.475,5483.47867,153052.162,7135
magara,2025-02-01,194054.04,5073.04341,164331.2914,7294
magara,2025-03-01,205620.8203,9607.8252,170446.0723,7642
magara,2025-04-01,250425.5579,6074.56477,212479.112,9016
magara,2025-05-01,262571.2959,7371.30352,221913.0213,9265
magara,2025-06-01,298484.693,6768.65158,253666.1099,10042
magara,2025-07-01,380925.1806,6498.73861,325616.8973,12392
magara,2025-08-01,332608.008,5935.91243,284091.3798,11485
jarir,2024-01-01,41910.71176,1321.913,35294.60506,2186
jarir,2024-02-01,43981.91712,1623.21728,36833.65079,2419
jarir,2024-03-01,38880.80197,1094.65201,32857.52022,2185
jarir,2024-04-01,47245.56448,1809.56497,39512.56272,2722
jarir,2024-05-01,69814.91093,3053.91247,58080.29978,4052
jarir,2024-06-01,61255.65081,2575.65181,51029.99554,2938
jarir,2024-07-01,72569.17163,4532.17321,59164.5592,3391
jarir,2024-08-01,77358.3459,3044.34732,64620.86328,3630
jarir,2024-09-01,73545.30231,3743.30393,60697.38594,3408
jarir,2024-10-01,79019.40638,3490.60774,65677.21214,3554
jarir,2024-11-01,73263.43349,3330.43422,60811.29992,3329
jarir,2024-12-01,75245.59567,3169.35619,62674.98717,3478
jarir,2025-01-01,72532.47829,3443.47826,60077.38764,3394
jarir,2025-02-01,74146.52129,5376.52132,59799.99684,3439
jarir,2025-03-01,68945.39103,2817.39118,57502.60688,3129
jarir,2025-04-01,89522.66281,3108.91272,75142.38853,4320
jarir,2025-05-01,103110.1295,6059.12984,84404.56157,4945
jarir,2025-06-01,98837.9035,5787.30371,80945.51866,4468
jarir,2025-07-01,101267.5728,5352.17344,83447.73619,4579
jarir,2025-08-01,102913.1516,6405.65183,83944.99968,4724
SAGER,2024-01-01,81440.80849,2481.26065,68660.47182,4551
SAGER,2024-02-01,81936.67806,2469.47793,69101.91194,4612
SAGER,2024-03-01,62120.60782,1722.60867,52519.99671,3562
SAGER,2024-04-01,93043.69328,3448.69513,77919.64655,5019
SAGER,2024-05-01,129245.8651,6640.86835,106635.208,7013
SAGER,2024-06-01,131631.6481,4575.65149,110489.3376,6734
SAGER,2024-07-01,164828.7334,6581.73824,137606.0735,8050
SAGER,2024-08-01,188064.0366,4533.04295,159592.1576,9210
SAGER,2024-09-01,139354.4736,5059.47827,116778.2496,7466
SAGER,2024-10-01,139862.0614,5559.56357,116784.7728,7659
SAGER,2024-11-01,126267.6963,4241.99908,106109.2958,6940
SAGER,2024-12-01,119342.7169,4508.53855,99855.80159,6776
SAGER,2025-01-01,118618.7816,3714.78277,99916.51535,6673
SAGER,2025-02-01,123623.5852,3836.08681,104163.036,6880
SAGER,2025-03-01,89910.04133,3053.04323,75527.81958,4763
SAGER,2025-04-01,135736.4754,3683.47785,114828.6866,7814
SAGER,2025-05-01,156157.9735,5213.47774,131256.0736,8542
SAGER,2025-06-01,151964.4734,5043.47781,127757.378,8167
SAGER,2025-07-01,193024.1774,4494.78224,163943.8147,9760
SAGER,2025-08-01,204836.9611,4513.56456,174222.9476,10082
